HCP_ID,Name,Specialty,Region,Prescribing_Trend,Research_Involvement,Engagement_Score
HCP00337,HCP_Name_337,Dermatology,South,Medium,No,Low
HCP00338,HCP_Name_338,Neurology,West,High,No,Low
HCP00339,HCP_Name_339,Neurology,Central,High,Yes,High
HCP00340,HCP_Name_340,Neurology,East,High,Yes,Low
HCP00341,HCP_Name_341,Neurology,East,Low,No,Low
HCP00342,HCP_Name_342,Cardiology,East,High,Yes,High
HCP00343,HCP_Name_343,Pediatrics,Central,Low,No,Low
HCP00344,HCP_Name_344,Dermatology,South,Medium,Yes,Low
HCP00345,HCP_Name_345,Dermatology,Central,Low,Yes,Low
HCP00346,HCP_Name_346,Pediatrics,West,Medium,No,High
HCP00347,HCP_Name_347,Pediatrics,West,Low,No,High
HCP00348,HCP_Name_348,Oncology,North,High,No,Medium
HCP00349,HCP_Name_349,Pediatrics,South,High,No,Low
HCP00350,HCP_Name_350,Neurology,South,High,Yes,Medium
HCP00351,HCP_Name_351,Oncology,Central,Low,Yes,High
HCP00352,HCP_Name_352,Cardiology,East,Low,No,High
HCP00353,HCP_Name_353,Oncology,West,High,Yes,High
HCP00354,HCP_Name_354,General Practice,East,Low,Yes,Medium
HCP00355,HCP_Name_355,Neurology,West,High,No,High
HCP00356,HCP_Name_356,General Practice,South,Low,Yes,High
HCP00357,HCP_Name_357,Dermatology,East,Medium,Yes,High
HCP00358,HCP_Name_358,Neurology,Central,Medium,Yes,High
HCP00359,HCP_Name_359,Pediatrics,East,Low,No,Low
HCP00360,HCP_Name_360,Neurology,West,Low,No,High
HCP00361,HCP_Name_361,Pediatrics,West,Low,No,Medium
HCP00362,HCP_Name_362,Cardiology,Central,Low,Yes,Low
HCP00363,HCP_Name_363,General Practice,South,Medium,No,Medium
HCP00364,HCP_Name_364,General Practice,North,Low,Yes,Low
HCP00365,HCP_Name_365,Neurology,East,Low,Yes,Low
HCP00366,HCP_Name_366,Dermatology,South,Medium,Yes,Low
HCP00367,HCP_Name_367,Oncology,West,Low,Yes,Low
HCP00368,HCP_Name_368,Dermatology,Central,Medium,Yes,Medium
HCP00369,HCP_Name_369,Oncology,Central,Medium,No,Medium
HCP00370,HCP_Name_370,General Practice,Central,Medium,No,Low
HCP00371,HCP_Name_371,Oncology,North,Medium,Yes,High
HCP00372,HCP_Name_372,Cardiology,Central,Medium,Yes,High
HCP00373,HCP_Name_373,Neurology,Central,High,No,Medium
HCP00374,HCP_Name_374,General Practice,East,Medium,No,Medium
HCP00375,HCP_Name_375,Oncology,West,Medium,Yes,High
HCP00376,HCP_Name_376,General Practice,West,Medium,Yes,High
HCP00377,HCP_Name_377,Dermatology,East,Low,Yes,High
HCP00378,HCP_Name_378,General Practice,South,High,No,High
HCP00379,HCP_Name_379,Pediatrics,South,High,Yes,Low
HCP00380,HCP_Name_380,Oncology,Central,Medium,Yes,Low
HCP00381,HCP_Name_381,Cardiology,North,Medium,Yes,Medium
HCP00382,HCP_Name_382,Oncology,North,High,Yes,Low
HCP00383,HCP_Name_383,Pediatrics,West,High,Yes,Medium
HCP00384,HCP_Name_384,Cardiology,East,Low,Yes,Low
HCP00385,HCP_Name_385,Pediatrics,East,High,Yes,Low
HCP00386,HCP_Name_386,Neurology,Central,Low,No,High
HCP00387,HCP_Name_387,Dermatology,West,Low,No,Low
HCP00388,HCP_Name_388,General Practice,North,Low,No,Low
HCP00389,HCP_Name_389,Neurology,North,Low,No,High
HCP00390,HCP_Name_390,Pediatrics,Central,High,Yes,Medium
HCP00391,HCP_Name_391,Oncology,East,High,Yes,Medium
HCP00392,HCP_Name_392,Dermatology,South,High,Yes,Medium
HCP00393,HCP_Name_393,Oncology,East,Medium,No,High
HCP00394,HCP_Name_394,Cardiology,South,Low,Yes,High
HCP00395,HCP_Name_395,Cardiology,East,High,Yes,High
HCP00396,HCP_Name_396,Oncology,West,High,No,Low
HCP00397,HCP_Name_397,General Practice,Central,High,No,Low
HCP00398,HCP_Name_398,Cardiology,Central,Low,Yes,Medium
HCP00399,HCP_Name_399,Pediatrics,South,High,No,High
HCP00400,HCP_Name_400,Cardiology,North,Medium,No,Medium
HCP00401,HCP_Name_401,Cardiology,East,Medium,No,Medium
HCP00402,HCP_Name_402,Dermatology,East,Low,Yes,High
HCP00403,HCP_Name_403,Dermatology,South,Low,Yes,High
HCP00404,HCP_Name_404,Pediatrics,Central,Low,No,High
HCP00405,HCP_Name_405,Oncology,South,Low,No,High
HCP00406,HCP_Name_406,General Practice,East,High,Yes,High
HCP00407,HCP_Name_407,Dermatology,North,Medium,No,Low
HCP00408,HCP_Name_408,Cardiology,South,Low,No,High
HCP00409,HCP_Name_409,General Practice,Central,Medium,Yes,Low
HCP00410,HCP_Name_410,Cardiology,West,Medium,No,Low
HCP00411,HCP_Name_411,Oncology,West,Medium,No,High
HCP00412,HCP_Name_412,General Practice,West,Medium,Yes,High
HCP00413,HCP_Name_413,Oncology,Central,Low,No,Medium
HCP00414,HCP_Name_414,Neurology,West,Medium,No,Low
HCP00415,HCP_Name_415,General Practice,Central,High,Yes,Medium
HCP00416,HCP_Name_416,Cardiology,East,High,No,Low
HCP00417,HCP_Name_417,Pediatrics,East,High,No,Low
HCP00418,HCP_Name_418,General Practice,Central,Low,No,Low
HCP00419,HCP_Name_419,Pediatrics,East,Low,No,Low
HCP00420,HCP_Name_420,Neurology,West,Medium,Yes,Medium
HCP00421,HCP_Name_421,Pediatrics,Central,Low,No,Medium
HCP00422,HCP_Name_422,General Practice,Central,Medium,Yes,Low
HCP00423,HCP_Name_423,Oncology,North,Medium,No,High
HCP00424,HCP_Name_424,General Practice,South,Medium,No,Medium
HCP00425,HCP_Name_425,Cardiology,South,Medium,Yes,Medium
HCP00426,HCP_Name_426,Oncology,North,Medium,No,High
HCP00427,HCP_Name_427,Pediatrics,South,Medium,No,High
HCP00428,HCP_Name_428,Pediatrics,East,Low,Yes,Low
HCP00429,HCP_Name_429,Pediatrics,South,High,No,High
HCP00430,HCP_Name_430,Pediatrics,West,Low,No,High
HCP00431,HCP_Name_431,Oncology,West,Low,Yes,High
HCP00432,HCP_Name_432,Oncology,North,High,No,Low
HCP00433,HCP_Name_433,Dermatology,South,Medium,No,Medium
HCP00434,HCP_Name_434,Neurology,North,High,Yes,Low
HCP00435,HCP_Name_435,General Practice,East,Medium,No,Medium
